id,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,time
1,0.685303,0.774902,0.155029,-5.85366,5,22.5,1.45712E+12
2,0.72876,0.591797,0.16626,-14.5122,15.1524,50.061,1.45712E+12
3,0.796631,0.451172,0.2854,-6.76829,14.4512,32.5915,1.45712E+12
4,0.82666,0.418701,0.312744,3.84146,9.14634,12.5,1.45712E+12
5,0.822266,0.473145,0.299561,4.84756,3.65854,0.548781,1.45712E+12
6,0.829834,0.43042,0.301514,5.82317,1.79878,-1.58537,1.45712E+12
7,0.827393,0.470947,0.331787,3.47561,4.14634,0.0609756,1.45712E+12
8,0.825439,0.428467,0.340088,0.579268,2.31707,0.884146,1.45712E+12
9,0.821777,0.483887,0.321533,4.81707,2.28659,-0.853659,1.45712E+12
10,0.8396,0.463623,0.321777,-2.86585,0.579268,-0.548781,1.45712E+12
11,0.832275,0.379639,0.307129,-8.68902,-1.06707,-0.670732,1.45712E+12
12,0.832275,0.472168,0.312744,-0.0609756,1.06707,-1.43293,1.45712E+12
13,0.828125,0.425293,0.303223,-1.7378,0.823171,0.548781,1.45712E+12
14,0.833496,0.440186,0.3125,-2.10366,0.762195,1.34146,1.45712E+12
15,0.837402,0.474365,0.314453,-0.548781,0.182927,-3.68902,1.45712E+12
16,0.835938,0.43457,0.29248,-1.52439,0.335366,-1.28049,1.45712E+12
17,0.831543,0.458008,0.303955,3.01829,0.945122,-0.945122,1.45712E+12
18,0.828125,0.422852,0.318848,-1.46341,-0.762195,-4.20732,1.45712E+12
19,0.819092,0.422607,0.315674,-2.43902,-5.21341,-19.3598,1.45712E+12
20,0.770264,0.500488,0.309326,8.78049,-16.5549,-48.4451,1.45712E+12
21,0.686279,0.699219,0.224609,15.3963,-16.9817,-53.5061,1.45712E+12
22,0.662109,0.894775,0.144775,5.82317,-6.46341,-23.628,1.45712E+12
23,0.645264,0.784668,0.162598,5.79268,-1.64634,-7.10366,1.45712E+12
24,0.631836,0.746582,0.193115,-9.78659,-0.213415,-6.89024,1.45712E+12
25,0.619385,0.778809,0.213135,-4.08537,2.16463,-0.945122,1.45712E+12
26,0.636963,0.74292,0.192383,0.365854,2.40854,-1.0061,1.45712E+12
27,0.619385,0.74585,0.201172,0.609756,-0.396341,-0.609756,1.45712E+12
28,0.627441,0.75293,0.197754,-0.640244,0.396341,-1.43293,1.45712E+12
29,0.625488,0.737061,0.216309,-1.12805,1.03659,-1.15854,1.45712E+12
30,0.624268,0.752197,0.195312,0.731707,-0.97561,-0.609756,1.45712E+12
31,0.629639,0.729004,0.21582,1.79878,1.40244,-1.46341,1.45712E+12
32,0.622314,0.760254,0.223877,-0.0304878,0.121951,-1.25,1.45712E+12
33,0.628662,0.76709,0.182129,1.21951,1.15854,-0.121951,1.45712E+12
34,0.63208,0.757324,0.226074,-3.65854,0.853659,-0.70122,1.45712E+12
35,0.640869,0.724365,0.225586,-3.35366,-0.70122,-0.0609756,1.45712E+12
36,0.633301,0.762451,0.197754,0.853659,2.46951,-1.15854,1.45712E+12
37,0.636963,0.764893,0.202637,0.213415,2.04268,5.64024,1.45712E+12
38,0.658447,0.746582,0.245361,-4.02439,5.12195,20.6098,1.45712E+12
39,0.70166,0.690186,0.237061,-12.4085,7.5,36.6159,1.45712E+12
40,0.757812,0.527832,0.264404,-8.2622,13.2927,43.75,1.45712E+12
41,0.810059,0.467529,0.338623,-8.10976,14.6341,33.3537,1.45712E+12
42,0.835205,0.317383,0.36499,-9.08537,6.79878,15.1524,1.45712E+12
43,0.839355,0.371338,0.397949,-1.25,5.97561,7.9878,1.45712E+12
44,0.84082,0.313232,0.375732,0.884146,3.44512,5.36585,1.45712E+12
45,0.849365,0.324463,0.367676,0.792683,2.68293,2.9878,1.45712E+12
46,0.840332,0.336426,0.423828,1.12805,1.92073,-0.0609756,1.45712E+12
47,0.844727,0.332031,0.378906,0.640244,1.4939,1.52439,1.45712E+12
48,0.856201,0.368652,0.384033,0.762195,0.457317,-2.5,1.45712E+12
49,0.842773,0.347656,0.387695,0.213415,1.03659,-0.152439,1.45712E+12
50,0.846436,0.33252,0.394531,0.640244,0.579268,-1.15854,1.45712E+12
51,0.859131,0.353516,0.369385,0.97561,1.06707,-2.19512,1.45712E+12
52,0.8479,0.34668,0.396484,-0.243902,-0.0914634,-0.396341,1.45712E+12
53,0.847168,0.303223,0.369629,-0.152439,-0.152439,-1.25,1.45712E+12
54,0.855469,0.396973,0.383057,2.80488,1.31098,-1.61585,1.45712E+12
55,0.844727,0.33252,0.359131,0.243902,1.67683,2.0122,1.45712E+12
56,0.845215,0.380127,0.405518,-0.304878,0.762195,-0.27439,1.45712E+12
57,0.846191,0.322266,0.37085,-0.182927,-0.121951,-1.95122,1.45712E+12
58,0.841797,0.384521,0.385742,1.67683,0.396341,-4.42073,1.45712E+12
59,0.846924,0.388428,0.362549,4.63415,0.70122,-2.13415,1.45712E+12
60,0.849609,0.3479,0.378418,-1.4939,0.0609756,-2.34756,1.45712E+12
